relationship,source_table,source_col,target_table,target_col,inclusion_pct,cardinality,type_compatible,naming_score,naming_rules,confidence,orphaned_values,pk_is_unique,source,detection_basis
customer.C_NATIONKEY -> nation.N_NATIONKEY,customer,C_NATIONKEY,nation,N_NATIONKEY,100.0,1:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",100.0,0,True,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: 1:M"
lineitem.L_ORDERKEY -> orders.O_ORDERKEY,lineitem,L_ORDERKEY,orders,O_ORDERKEY,100.0,1:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",100.0,0,True,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: 1:M"
lineitem.L_PARTKEY -> part.P_PARTKEY,lineitem,L_PARTKEY,part,P_PARTKEY,100.0,1:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",100.0,0,True,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: 1:M"
nation.N_REGIONKEY -> region.R_REGIONKEY,nation,N_REGIONKEY,region,R_REGIONKEY,100.0,1:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",100.0,0,True,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: 1:M"
orders.O_CUSTKEY -> customer.C_CUSTKEY,orders,O_CUSTKEY,customer,C_CUSTKEY,100.0,1:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",100.0,0,True,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: 1:M"
nation.N_NATIONKEY -> customer.C_NATIONKEY,nation,N_NATIONKEY,customer,C_NATIONKEY,100.0,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:1"
lineitem.L_SUPPKEY -> partsupp.PS_SUPPKEY,lineitem,L_SUPPKEY,partsupp,PS_SUPPKEY,100.0,M:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:M"
partsupp.PS_SUPPKEY -> lineitem.L_SUPPKEY,partsupp,PS_SUPPKEY,lineitem,L_SUPPKEY,100.0,M:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:M"
orders.O_ORDERKEY -> lineitem.L_ORDERKEY,orders,O_ORDERKEY,lineitem,L_ORDERKEY,100.0,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:1"
part.P_PARTKEY -> lineitem.L_PARTKEY,part,P_PARTKEY,lineitem,L_PARTKEY,100.0,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:1"
partsupp.PS_PARTKEY -> lineitem.L_PARTKEY,partsupp,PS_PARTKEY,lineitem,L_PARTKEY,100.0,M:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:M"
supplier.S_NATIONKEY -> customer.C_NATIONKEY,supplier,S_NATIONKEY,customer,C_NATIONKEY,100.0,M:M,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:M"
region.R_REGIONKEY -> nation.N_REGIONKEY,region,R_REGIONKEY,nation,N_REGIONKEY,100.0,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:1"
supplier.S_SUPPKEY -> lineitem.L_SUPPKEY,supplier,S_SUPPKEY,lineitem,L_SUPPKEY,100.0,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",76.0,0,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 100.0%; cardinality: M:1"
customer.C_CUSTKEY -> orders.O_CUSTKEY,customer,C_CUSTKEY,orders,O_CUSTKEY,66.66,M:1,True,6,"['base_match', 'token_overlap(1)', 'suffix_match']",52.7,10001,False,naming,"column naming (base_match, token_overlap(1), suffix_match); compatible types; value overlap: 66.66%; cardinality: M:1"
